user_id,segment
1000,Low-Income Stressed
1001,Middle Balanced
1002,High-Income Stable
1003,Low-Income Stressed
1004,Middle Balanced
1005,Middle Balanced
1006,High-Income Stable
1007,Middle Balanced
1009,Low-Income Stressed
1010,Low-Income Stressed
1011,Middle Balanced
1012,Middle Balanced
1013,Middle Balanced
1014,High-Income Stable
1015,High-Income Stable
1016,Middle Balanced
1017,Middle Balanced
1018,Low-Income Stressed
1019,Low-Income Stressed
1020,High-Income Stable
1021,Middle Balanced
1023,High-Income Stable
1024,Middle Balanced
1025,Low-Income Stressed
1026,Low-Income Stressed
1027,Middle Balanced
1028,Low-Income Stressed
1029,Middle Balanced
1030,Low-Income Stressed
1031,Low-Income Stressed
1032,Middle Balanced
1033,High-Income Stable
1034,Low-Income Stressed
1035,Low-Income Stressed
1036,Middle Balanced
1037,Low-Income Stressed
1038,Low-Income Stressed
1039,Low-Income Stressed
1040,High-Income Stable
1041,Middle Balanced
1042,Low-Income Stressed
1043,Low-Income Stressed
1044,Low-Income Stressed
1045,High-Income Stable
1046,Middle Balanced
1047,Low-Income Stressed
1048,Low-Income Stressed
1050,Low-Income Stressed
1051,Middle Balanced
1052,Low-Income Stressed
1053,Low-Income Stressed
1054,Middle Balanced
1055,Low-Income Stressed
1056,Low-Income Stressed
1057,Middle Balanced
1058,Low-Income Stressed
1059,Low-Income Stressed
1060,Middle Balanced
1061,Middle Balanced
1063,Low-Income Stressed
1064,Low-Income Stressed
1065,Low-Income Stressed
1066,Middle Balanced
1067,High-Income Stable
1068,High-Income Stable
1069,Middle Balanced
1070,High-Income Stable
1071,High-Income Stable
1072,Low-Income Stressed
1073,High-Income Stable
1074,Low-Income Stressed
1075,Low-Income Stressed
1076,Low-Income Stressed
1077,Low-Income Stressed
1078,High-Income Stable
1079,Middle Balanced
1080,Low-Income Stressed
1081,Middle Balanced
1082,Low-Income Stressed
1083,Low-Income Stressed
1084,Middle Balanced
1085,Middle Balanced
1086,High-Income Stable
1087,High-Income Stable
1088,Middle Balanced
1089,Low-Income Stressed
1090,Low-Income Stressed
1091,Middle Balanced
1092,Low-Income Stressed
1094,Low-Income Stressed
1095,Low-Income Stressed
1096,Low-Income Stressed
1097,Low-Income Stressed
1098,Middle Balanced
1099,Middle Balanced
1100,Middle Balanced
1101,Middle Balanced
1102,Low-Income Stressed
1103,Low-Income Stressed
1104,Middle Balanced
1105,High-Income Stable
1106,Middle Balanced
1107,High-Income Stable
1108,Low-Income Stressed
1109,Low-Income Stressed
1111,Low-Income Stressed
1112,Low-Income Stressed
1113,Low-Income Stressed
1114,Low-Income Stressed
1115,High-Income Stable
1116,Low-Income Stressed
1117,Low-Income Stressed
1118,Low-Income Stressed
1119,Low-Income Stressed
1120,Low-Income Stressed
1121,Middle Balanced
1122,Low-Income Stressed
1123,High-Income Stable
1124,High-Income Stable
1125,High-Income Stable
1126,High-Income Stable
1127,High-Income Stable
1128,Low-Income Stressed
1129,Middle Balanced
1131,High-Income Stable
1132,Middle Balanced
1133,Middle Balanced
1134,High-Income Stable
1136,Middle Balanced
1137,Low-Income Stressed
1138,Middle Balanced
1140,Low-Income Stressed
1141,Low-Income Stressed
1142,Low-Income Stressed
1144,Middle Balanced
1145,Middle Balanced
1146,Low-Income Stressed
1147,Middle Balanced
1148,High-Income Stable
1149,Middle Balanced
1150,Middle Balanced
1151,High-Income Stable
1152,Low-Income Stressed
1153,Low-Income Stressed
1154,Low-Income Stressed
1155,Low-Income Stressed
1156,Low-Income Stressed
1157,Low-Income Stressed
1158,Low-Income Stressed
1159,Middle Balanced
1160,High-Income Stable
1161,Middle Balanced
1163,Low-Income Stressed
1164,Low-Income Stressed
1165,Low-Income Stressed
1166,Low-Income Stressed
1167,Low-Income Stressed
1168,Low-Income Stressed
1169,Middle Balanced
1170,Middle Balanced
1171,Low-Income Stressed
1172,Middle Balanced
1173,High-Income Stable
1175,High-Income Stable
1176,Low-Income Stressed
1177,Low-Income Stressed
1178,Middle Balanced
1179,High-Income Stable
1180,Middle Balanced
1181,Low-Income Stressed
1182,Middle Balanced
1183,Low-Income Stressed
1184,Middle Balanced
1186,Middle Balanced
1187,Middle Balanced
1189,Low-Income Stressed
1190,Middle Balanced
1191,High-Income Stable
1192,Low-Income Stressed
1193,Middle Balanced
1194,Middle Balanced
1195,Middle Balanced
1196,Low-Income Stressed
1197,High-Income Stable
1198,Low-Income Stressed
1199,Low-Income Stressed
1200,Low-Income Stressed
1201,Low-Income Stressed
1202,High-Income Stable
1203,Low-Income Stressed
1204,Low-Income Stressed
1205,Middle Balanced
1206,Low-Income Stressed
1207,Low-Income Stressed
1208,High-Income Stable
1209,Low-Income Stressed
1210,Low-Income Stressed
1211,Low-Income Stressed
1212,Low-Income Stressed
1213,Low-Income Stressed
1214,Low-Income Stressed
1215,Low-Income Stressed
1216,Low-Income Stressed
1217,Middle Balanced
